Field,ID,RA,DEC,z_Spec,Environment,Delta_Gal,Delta_Gal_err,M_UV,M_UV_err,beta_UV,beta_UV_err,Stellar_Mass_Low,Stellar_Mass_Med,Stellar_Mass_Upp,SFR_100_Low,SFR_100_Med,SFR_100_Upp
GN,1674,189.133282,62.2275,5.1778,JADES-GN-OD-5.191,12.561321,0.273544,-20.864746,0.037684,-1.330734,0.108928,9.473428471420826,9.607762568515442,9.919046736814185,0.9506375945416023,1.2863513357100702,1.550148370709803
GN,1698,189.130713,62.227514,5.173,JADES-GN-OD-5.191,7.808096,0.311373,-18.936702,0.087032,-2.511312,0.281642,7.78704048828026,7.960418253169068,8.094447050744341,-0.40735439772350046,-0.19721133016929138,0.03997704415422357
GN,1700,189.090169,62.227515,5.2731,JADES-GN-OD-5.269,2.34728,0.271779,-18.525862,0.161135,-2.090692,0.499763,8.129185343596511,8.36238698009899,8.544524064516786,-0.4408290743435611,-0.09687665834293087,0.2323879000021342
GN,1844,189.121351,62.228227,5.3563,Field,0.821125,0.304517,-19.431746,0.08288,-1.75356,0.267987,8.181328064031858,8.348705227192658,8.48593365982511,0.01588697634795842,0.24392376284589992,0.5326006418172868
GN,1895,189.109562,62.22846,6.2064,Field,0.639344,0.034784,-18.685185,0.173265,-2.832829,0.451418,10.421033418117705,10.608824981217868,10.791102357429951,1.407117384578735,1.9662730570994542,2.427274391139717
GN,2030,189.125905,62.229152,5.1798,JADES-GN-OD-5.191,12.528749,0.311368,-20.918851,0.028896,-1.797478,0.082749,9.101787778743947,9.456478227313383,9.597542589262662,0.6909904006474848,1.0643026913816125,1.441784882215503
GN,2057,189.089011,62.229174,7.0349,Field,2.552398,0.057045,-18.6685,0.122581,-2.291505,0.385867,7.708475331037701,7.817241310104992,7.959662492545488,-0.25542943362107906,-0.15046039600893926,-0.11453002332263158
GN,2176,189.047249,62.229635,5.4286,Field,1.345582,0.23027,-18.358058,0.197574,-2.107725,0.363938,7.8904964494154886,8.120557501467538,8.354723845372538,-0.3545351912726018,-0.08061585394280157,0.17380452454021514
GN,2222,189.052599,62.229901,5.2941,Field,0.674419,0.324414,-19.909004,0.053238,-1.617184,0.152939,8.889803428718974,9.094748737255085,9.307861172549998,0.33827822759450304,0.6340461263415864,0.9907063184826549
GN,2298,189.12131,62.230282,5.1791,JADES-GN-OD-5.191,14.181518,0.249844,-19.614152,0.043535,-2.434936,0.137559,8.345756255984023,8.384347697338342,8.422781269519708,0.4503296488412205,0.4733841561450828,0.489795456214958
GN,2500,189.109319,62.231187,5.5228,Field,-0.020568,0.248674,-18.724304,0.113147,-2.262091,0.215085,7.617910332004997,7.775763354537585,7.9494258431557245,-0.5511771254785811,-0.3291953696757712,-0.13127922891727323
GN,2711,189.208185,62.232122,5.7937,Field,1.777778,0.08087,-20.034367,0.040829,-2.341373,0.091893,8.407315276331568,8.510815966882696,8.610571523128732,0.2513588599884786,0.42076078396956473,0.5828677361867293
GN,2836,189.1277,62.232598,7.1289,JADES-GN-OD-7.133,3.385965,0.058141,-19.230338,0.096532,-2.105768,0.289329,8.022023742013676,8.17399026000489,8.322891560519498,-0.1287906617021036,0.06126081716936602,0.24418693519505646
GN,3072,189.196071,62.233523,5.4132,Field,0.787709,0.266198,-18.359563,0.14585,-2.23247,0.277513,8.07768802235402,8.294011969585636,8.461955003278502,-0.4389308679333458,-0.15768777473385984,0.11389462511850602
GN,3167,189.198759,62.233942,5.9882,Field,2.992016,0.052058,-18.40041,0.084129,-2.579217,0.201117,7.793880246707502,7.9425560131477315,8.08952539255052,-0.5891502961689026,-0.34997629403265196,-0.12318166151231334
GN,3205,189.115309,62.234103,5.176,JADES-GN-OD-5.191,7.551992,0.306959,-19.034988,0.047568,-2.469368,0.15296,7.896343930307541,7.968926852145293,8.088100662331396,-0.14393199075703816,0.017061831007127395,0.08140337128359447
GN,3337,189.132478,62.234604,5.5478,Field,-0.067164,0.253577,-17.829763,0.304252,-1.583856,0.531383,8.04422335107172,8.224186863855593,8.411190486204607,-0.08555446130069709,0.16282435181980853,0.3600709779884475
GN,3394,189.093659,62.234801,5.2445,Field,-0.050873,0.309018,-19.110706,0.058615,-2.253344,0.173531,8.370368059600416,8.611910754280235,8.740751141187493,-0.1794313110076359,0.06672066259546919,0.3655276667631596
GN,3608,189.117942,62.235517,5.2662,JADES-GN-OD-5.269,3.507405,0.257986,-19.340519,0.047077,-2.430973,0.162842,8.298785901511799,8.423576342455723,8.52115402361525,-0.27137257692735123,-0.10645776587330034,0.11747872904841425
GN,3804,189.119081,62.236248,5.2681,JADES-GN-OD-5.269,3.878049,0.26359,-20.890184,0.022399,-2.216792,0.071371,8.399363735146775,8.58148027820405,8.885446778882729,0.12321375554273907,0.521862694951592,0.7777987672086228
GN,4051,189.083884,62.23713,5.2963,Field,1.346959,0.308737,-19.843437,0.037447,-2.183445,0.123853,8.345691371783106,8.543690371397231,8.698119352214455,0.0775063567840456,0.32516603403750716,0.5501262380885595
GN,4314,189.148174,62.238055,7.1396,JADES-GN-OD-7.133,6.223114,0.065065,-19.937696,0.060032,-1.983182,0.185461,8.525895150774536,8.789119646086814,8.936380054797315,0.3119690250591945,0.6064892376286426,0.8836947911286236
GN,4452,189.1692,62.23847,5.4189,Field,1.099958,0.29043,-19.417983,0.09036,-1.283452,0.155611,9.317692685564126,9.492359867620342,9.65254201538972,0.45756595003949313,0.7951614825582498,1.1308070316857444
GN,4465,189.160241,62.238468,5.0301,Field,-0.503476,0.340027,-17.417749,0.344377,-2.558088,1.150552,8.019220003289009,8.213834544326176,8.367653314491626,-0.7027878627179479,-0.40789127900667155,-0.06249688262724556
GN,4513,189.08044,62.238567,7.0727,Field,-0.078341,0.055568,-18.758198,0.097461,-2.315117,0.303534,7.71510397639666,7.918757466343118,8.109475126878184,-0.5638984415463498,-0.2668249332014539,-0.004437610851016959
GN,4535,189.156031,62.238715,5.4345,Field,1.94651,0.266785,-18.592033,0.11512,-2.233378,0.227043,7.726964278059513,7.8437761559154975,7.956809128548012,-0.5156508389889242,-0.35968017462992624,-0.17319179983992736
GN,4548,189.109943,62.238725,7.1297,JADES-GN-OD-7.133,3.476276,0.059794,-17.805342,0.145736,-2.012798,0.399682,8.191938605810916,8.4161865587415,8.688892899615395,0.3385225213661725,0.45312249001497046,0.49923103710141337
GN,4725,189.057762,62.23927,5.443,Field,0.98369,0.275874,-20.590359,0.042401,-1.91535,0.078255,8.795989695132924,9.0381338258245,9.226425549522315,0.49412159683442824,0.7552142645023072,1.0376514749435914
GN,4902,189.119451,62.239931,5.2948,Field,2.135452,0.29477,-20.717194,0.031723,-1.433537,0.091085,9.298177567403638,9.42014233158274,9.568053431778042,0.825588390388758,1.0863783656121946,1.3204379854216577
GN,4982,189.100832,62.240189,5.296,Field,1.847131,0.271635,-19.093407,0.085272,-1.643007,0.246758,8.969249995157194,9.114193798384079,9.266321705657253,0.018347774319875557,0.3111669692707782,0.5831202726528082
GN,5735,189.158759,62.242476,5.2757,JADES-GN-OD-5.269,3.62606,0.317586,-18.828751,0.083528,-2.297407,0.26662,8.258990156794964,8.379009768890821,8.48809031770005,-0.16298907846816382,0.03695877825195558,0.23114176036533038
GN,5836,189.219047,62.242827,8.2713,Field,16.391304,0.012561,-19.602838,0.085164,-2.238148,0.154898,8.23494088112321,8.357958309779855,8.533747872370766,-0.03307384274789352,0.21852956438961404,0.40296998817644986
GN,5888,189.11401,62.242939,5.6318,Field,0.230012,0.161495,-18.929662,0.129034,-1.829501,0.249152,8.159712578615848,8.306581974646756,8.434042216982414,-0.08247744053667456,0.13209325593942808,0.3288180865016521
GN,6269,189.049616,62.244047,5.4415,Field,1.106249,0.253177,-21.090479,0.03525,-1.800113,0.066252,9.383107462754054,9.578078131562913,9.745665889946682,0.975862811261426,1.225434759094069,1.4871407396357084
GN,6357,189.117635,62.244321,5.1784,JADES-GN-OD-5.191,9.940032,0.277002,-19.622583,0.056749,-2.087478,0.186515,7.867080908135298,8.481555956677816,8.703698610430342,-0.31286961636373695,0.11088183760010085,0.6813109823416529
GN,6609,189.133697,62.244991,5.2577,JADES-GN-OD-5.269,3.103967,0.273469,-19.014193,0.079637,-1.604861,0.236274,8.555872579895379,8.76865230224934,8.905138335444704,0.02661142312777353,0.2687881346785361,0.5265571461417776
GN,7034,189.261225,62.246227,7.0094,Field,3.460303,0.054409,-18.736332,0.064585,-2.174661,0.203367,7.841455470012366,8.006823761440717,8.167537961630046,-0.3853673204030326,-0.15683304099384177,0.05448744128997146
GN,7351,189.108189,62.247145,6.045,Field,1.107482,0.057553,-19.021148,0.110776,-2.474186,0.296816,8.436012369967974,8.530952714142142,8.619964190589826,0.4862478206778727,0.5633682276241199,0.5993120908728761
GN,7473,189.154579,62.247544,5.2721,JADES-GN-OD-5.269,3.950495,0.296693,-19.872554,0.051062,-1.711608,0.16153,8.98349047942834,9.162433806280097,9.401713418781572,0.40552688735900316,0.6714946428189574,0.9272154211667228
GN,7643,189.242543,62.248003,5.8525,Field,0.468429,0.069764,-19.366377,0.075769,-1.706478,0.157132,8.548436900029829,8.782880630559795,8.924554889426693,0.24826728693984054,0.4659451944473694,0.7273590940844971
GN,7810,189.040112,62.248315,5.8578,Field,-0.337748,0.076785,-18.506463,0.134116,-2.235251,0.293679,7.734437989576442,7.838571378932132,7.957443719835363,-0.23188632449152402,-0.12196132244108061,-0.07260918010882803
GN,8147,189.242167,62.249447,5.8507,Field,0.403509,0.06632,-19.335896,0.070905,-1.988321,0.155507,8.085105672331183,8.209679608887535,8.348853371952659,-0.061755229416651375,0.12656638103897194,0.30278350502741364
GN,8212,189.031488,62.249454,7.601,Field,0.709402,0.042412,-19.655087,0.13422,-2.51454,0.261284,7.923877955525453,8.103656940544994,8.298011669910398,-0.2894834859402157,-0.028102002470425082,0.18655967129300036
GN,8233,189.154344,62.249668,5.1411,Field,-0.003653,0.371897,-19.960024,0.030814,-2.584112,0.10101,8.336709786862144,8.391352405003119,8.442229605045936,0.4263728509992111,0.471940326948623,0.5064471359237447
GN,8270,189.199698,62.249813,6.9923,JADES-GN-OD-6.991,7.563273,0.055717,-19.705255,0.075419,-2.009597,0.210653,8.242671262807153,8.40765195862252,8.533394908615724,0.08928112029477338,0.29291745662082846,0.48408976514445096
GN,8424,189.106216,62.250202,5.5944,Field,1.202643,0.257341,-19.231872,0.147339,-2.773021,0.308764,7.6672516621524585,7.846126695321837,8.034781847643973,-0.5235166099919305,-0.2714323083085763,-0.04324860383098815
GN,8518,189.193955,62.250526,5.1871,JADES-GN-OD-5.191,14.13602,0.261095,-17.087846,0.98041,-2.581792,4.058352,7.641578054775334,7.854617633032932,8.015315289936478,-0.6283025299222553,-0.396136014830633,-0.12733967835134072
GN,8541,189.106265,62.25055,5.5959,Field,1.552796,0.276434,-19.982811,0.113983,-2.202272,0.220408,8.54513456635376,8.722412415084992,8.881364124354448,0.27475825070429033,0.5042157572692646,0.7130731886714233
GN,8580,189.20532,62.250778,6.9945,JADES-GN-OD-6.991,6.867133,0.060144,-20.304959,0.097755,-1.848407,0.268126,8.554901506009113,8.67948094802287,8.788476929093223,0.3845451885116238,0.5695469369956008,0.7282360246740649
GN,8591,189.162611,62.250788,5.1854,JADES-GN-OD-5.191,12.23043,0.320142,-18.666482,0.106689,-1.372362,0.291317,8.097316453374301,8.41658167142522,8.603304756126622,-0.31515383525977525,0.019147988425985692,0.39422263943676095
GN,9043,189.231018,62.252331,5.9809,Field,3.668534,0.060382,-19.974067,0.046623,-2.006176,0.106765,8.678739960308699,8.863359850269807,8.984969622057223,0.3505009729358459,0.5488265351810705,0.7782722713813319
GN,9077,189.082647,62.252472,6.7547,Field,3.911591,0.059327,-21.34078,0.034222,-1.556549,0.089799,9.982894966110207,10.101761831113542,10.180660810111133,0.9723106326185234,1.6109137593119782,1.9870112933508872
GN,9100,189.129938,62.252501,5.2968,Field,2.035208,0.300001,-20.350816,0.027206,-2.293525,0.089097,8.258957198657226,8.398195639889789,8.604384902898744,0.06796913158884535,0.33174914750940104,0.5632646327264226
GN,9104,189.245269,62.252525,6.817,Field,0.923077,0.05724,-19.267944,0.06707,-2.165987,0.209295,8.04304814188682,8.252435354028337,8.482154688757714,-0.21972654036004857,0.06565843497024704,0.3118413671515296
GN,9229,189.206218,62.252943,5.1867,JADES-GN-OD-5.191,11.309797,0.343593,-17.368334,0.247839,-0.829427,0.598696,8.749264175941773,8.97828150510819,9.191376150897408,0.883935161252723,1.0079794384222518,1.0617437564384995
GN,9381,189.084864,62.253295,4.9273,Field,-0.273256,0.376969,-18.139732,0.10911,-1.978657,0.280902,7.3732752327894175,7.657156833836998,7.9897025735707645,-0.9797496184626194,-0.5015019979709328,-0.1349208526099409
GN,9502,189.09182,62.253743,5.7698,Field,-0.39577,0.073878,-19.834464,0.051585,-2.435629,0.116982,8.310393370160531,8.447563334202696,8.768448975250962,-0.16369792331045935,0.21916839666892174,0.4393132560313618
GN,9571,189.167811,62.253996,5.1846,JADES-GN-OD-5.191,11.234043,0.33317,-18.252541,0.137723,-2.344132,0.438762,8.215689716679856,8.391112715695813,8.515336245303635,-0.24451110773901194,-0.024385970297610884,0.23172124467059182
GN,9583,189.045017,62.253936,6.93,Field,-0.145299,0.062282,-19.434698,0.112478,-2.219568,0.316587,8.66732950494028,8.935715905833929,9.21578240080982,0.6022360089708004,0.8660118183548011,1.05943197912718
GN,9636,189.045925,62.25416,5.3622,Field,0.169044,0.256102,-19.492213,0.108964,-1.954719,0.341845,8.690900409140486,8.971083653487906,9.186403184649352,0.2406479435129184,0.6378235224596952,0.9128431973933608
GN,9667,189.149355,62.254358,5.1871,JADES-GN-OD-5.191,11.04596,0.300861,-17.195399,0.256945,-1.081644,0.674005,7.45824325905127,7.727764211592608,7.953782805206009,-0.7796767918505574,-0.4722882503436526,-0.12515951065760542
GN,9692,189.155509,62.254475,6.7376,Field,3.409171,0.062145,-19.107027,0.062763,-1.835712,0.160599,8.636276417309784,8.871520493702638,9.020789798608872,0.4472575123790638,0.7678254654063229,1.0192351947327087
GN,9909,189.160302,62.255436,6.992,JADES-GN-OD-6.991,6.111111,0.059761,-18.725549,0.082292,-2.21738,0.244018,7.7381675018260845,7.954466658437814,8.152891671115949,-0.4881598010908878,-0.23310855219384644,0.007404921370810212
GN,10155,189.060166,62.256513,5.3607,Field,0.099384,0.278589,-20.027158,0.051104,-1.429604,0.147933,9.05641801838298,9.29539450254725,9.448605934408631,0.6352844197789079,0.8828822882375305,1.1543248329327667
GN,10260,189.197724,62.256965,8.276,Field,18.607843,0.011207,-19.600071,0.084286,-2.647609,0.155508,8.534394441441565,8.698632824738587,8.845630194178078,0.5973656479400415,0.7293885311436803,0.7856964970552407
GN,10340,189.233671,62.257338,5.1907,JADES-GN-OD-5.191,8.664478,0.326481,-17.601946,0.16531,-2.489072,0.52187,7.80898899931032,8.086590450973016,8.266256843659626,-0.5702593043136922,-0.26042082508439807,0.055773958791012566
GN,10386,189.148134,62.257541,5.2709,JADES-GN-OD-5.269,3.714959,0.289987,-18.361732,0.12004,-2.768687,0.434173,8.0476482422651,8.195004623950407,8.334321302504005,-0.3956215398390211,-0.15853825586824077,0.05988484958135653
GN,10544,189.162541,62.258241,6.9924,JADES-GN-OD-6.991,5.820119,0.061328,-19.82749,0.063928,-2.189504,0.213326,8.566697133149392,8.677978748546584,9.06106410689425,0.06611888076780184,0.3023319361116551,0.607889748086773
GN,10567,189.141802,62.258421,4.9365,Field,-0.41029,0.404576,-19.261331,0.088608,-1.72525,0.224467,8.158364316246441,8.287073402824406,8.396794014064497,-0.08542071887208091,0.12997060376546835,0.3161080139409243
GN,10572,189.161806,62.258399,6.9892,JADES-GN-OD-6.991,5.628003,0.063263,-18.71655,0.092725,-1.649523,0.247391,7.843572370381874,7.989520356127781,8.128303410266637,-0.31028700487359084,-0.08747706316931254,0.11465009778090328
GN,10769,189.200586,62.259444,5.5995,Field,1.957907,0.286941,-20.41031,0.046207,-2.338586,0.094518,8.196712530310391,8.295896450970869,8.428244229481432,0.09929391308852903,0.2831737624846186,0.44534645397293
GN,10816,189.151962,62.259639,6.7568,Field,4.274262,0.055815,-19.863699,0.0543,-1.761245,0.137426,9.931587074067604,10.06232857625361,10.18562330101467,2.059180000033536,2.1078681132681685,2.126838738323146
GN,11050,189.205118,62.260712,5.1876,JADES-GN-OD-5.191,11.49268,0.294136,-21.385191,0.023113,-2.133875,0.071371,8.833862643863323,9.08198325990035,9.331378485392582,0.5360602981056619,0.8468136299144671,1.1080019091582929
GN,11479,189.231043,62.262374,7.1672,Field,1.710027,0.056103,-17.846982,0.14594,-1.914092,0.451127,7.81114951193529,8.027846695504149,8.243350348766377,-0.3480179841156087,-0.08054486222758353,0.16288459186261192
GN,11650,189.221694,62.263028,5.1878,JADES-GN-OD-5.191,9.538201,0.291035,-18.161903,0.089547,-3.259748,0.358211,7.731708926911992,7.869412635287537,7.975610236516642,-0.6277334799016925,-0.4264847311581578,-0.2091153603671475
GN,11679,189.217546,62.263103,5.1873,JADES-GN-OD-5.191,9.238305,0.331591,-19.267276,0.063999,-2.535148,0.216105,8.213792811020538,8.328732757576319,8.414943323633326,-0.17649076460567628,0.03390205039818589,0.24465577597656274
GN,11804,189.230783,62.263544,5.1893,JADES-GN-OD-5.191,7.900929,0.295418,-20.028735,0.029951,-2.476547,0.099469,8.489437443964812,8.590530155615784,8.672541995489471,0.09881103276914704,0.27822295262442576,0.45242425267509523
GN,11877,189.162139,62.263815,6.309,Field,0.517451,0.036424,-20.31497,0.06051,-2.027604,0.139972,8.540134929073673,8.659342742360193,8.767832578685631,0.2984592099177985,0.49355237381316674,0.6823811550664582
GN,12453,189.170815,62.265964,6.0193,Field,2.154574,0.052712,-18.659426,0.198755,-1.951636,0.446952,8.157375438735036,8.365984334763036,8.518067825001129,-0.14322618935845763,0.08797214876647862,0.33179992393547497
GN,12456,189.222182,62.265984,5.2754,Field,3.936056,0.257675,-17.953595,0.120045,-1.687953,0.347371,7.902421950174539,8.123715422417929,8.25754641165065,-0.4997481636472125,-0.2439169047897937,0.02229797865589705
GN,12585,189.222397,62.266616,6.9459,Field,-0.158249,0.066035,-18.804442,0.075548,-1.875378,0.225284,7.916742614296802,8.056750155414425,8.218932902438755,-0.15136546097932047,0.05943317512186664,0.17266799225553325
GN,12601,189.224266,62.266675,7.5179,Field,0.111111,0.057271,-18.893488,0.111392,-2.386521,0.195537,7.597551983110623,7.689598588878577,7.835510484625619,-0.5044272735730024,-0.3286544151138063,-0.198400837020839
GN,12664,189.073238,62.266785,5.4296,Field,1.245173,0.275547,-18.989538,0.095904,-2.790103,0.221489,7.999823986005789,8.169735802507585,8.341331097330654,-0.30841439377540525,-0.03353367698277603,0.15659408983422318
GN,12781,189.087084,62.26736,5.1313,Field,0.474654,0.324996,-18.691627,0.076383,-1.914796,0.222279,7.793942330708813,7.872094043583599,7.985887511104144,-0.25859870454009837,-0.12344499330854013,-0.0332336118869124
GN,12808,189.195069,62.267516,5.675,Field,-0.606299,0.122264,-19.179837,0.068666,-2.376314,0.162817,7.796494924883299,7.84979577968722,7.929885725732902,-0.20039795729105572,-0.11263017497220171,-0.07665462717655848
GN,12941,189.218068,62.268078,5.1864,JADES-GN-OD-5.191,9.166178,0.287454,-20.888995,0.030282,-1.71267,0.086327,9.3740280607679,9.532200638528373,9.892267603877169,0.8103468286345761,1.1270849920733046,1.3689231239316377
GN,12961,189.046022,62.267978,5.2434,Field,-0.125492,0.255187,-18.948267,0.13582,-2.17029,0.426949,7.940896354582865,8.339399266448126,8.540688357137007,-0.4627098709736581,-0.07304936309355305,0.3293144656738727
GN,13041,189.203775,62.268424,7.087,Field,2.616637,0.060372,-19.458834,0.048557,-1.86897,0.153305,8.741434026720144,8.846309581201334,8.947788471492048,0.8315783576090346,0.8968482024800124,0.9222576192836395
GN,13172,189.068812,62.268878,5.4709,Field,-0.75081,0.238245,-20.008464,0.036281,-2.380591,0.072591,8.51504119848822,8.638782169647417,8.734873813288024,0.32826958911874676,0.4538191796916458,0.5887762312525725
GN,13188,189.057099,62.26894,5.2411,Field,0.055298,0.272821,-17.711246,0.147215,-1.836918,0.43873,9.509942334850455,9.644867087567144,9.787695762040707,1.2282022293481398,1.5422526534204786,1.767133683935727
GN,13208,189.060086,62.268997,5.9306,Field,-0.134199,0.058455,-18.78299,0.100456,-2.366805,0.219401,7.956959944091225,8.09741261441578,8.25001189289101,-0.16520422498513077,0.040279055001960204,0.21548944409032086
GN,13368,189.083021,62.269695,5.2057,Field,0.725253,0.231113,-19.141306,0.05891,-2.201961,0.193266,8.191573014263302,8.38898987651525,8.524835493438122,-0.1435288833441506,0.05248921746173969,0.3103208303650156
GN,13410,189.18884,62.269911,5.0146,Field,-0.84294,0.365314,-20.161701,0.062573,-2.181652,0.180636,8.917150824489116,9.110646680358878,9.235341035961373,0.3248957208028903,0.5242958253412187,0.7680646619380674
GN,13426,189.084009,62.269841,5.2054,Field,0.521202,0.307828,-18.34352,0.088684,-1.888488,0.262683,7.590901756560376,7.668749506937738,7.805546784200789,-0.4776968834058323,-0.31990767024248185,-0.2306997740024773
GN,13849,189.094761,62.271576,5.269,Field,3.43191,0.294338,-18.275388,0.129761,-2.170673,0.437256,7.8195402815147945,8.129374752128596,8.392555182524012,-0.5673055621970937,-0.2064721165263663,0.1650116531435197
GN,13912,189.076535,62.27174,5.268,Field,3.721223,0.246064,-17.733742,0.115511,-1.847856,0.349071,7.787951684751511,7.976233297488103,8.125861658927406,-0.45693970825003905,-0.20923293019769582,0.016994783610921268
GN,14202,189.217624,62.2727,5.1861,JADES-GN-OD-5.191,7.508225,0.293938,-17.879825,0.179173,-2.189627,0.587122,7.85140160719277,8.041251351715868,8.186056990489828,-0.4967415251744605,-0.2702246824868007,-0.022022472314643906
GN,14285,189.128284,62.272978,5.436,Field,1.453167,0.26248,-18.730111,0.092056,-2.022395,0.178616,7.984686839663538,8.21075038457888,8.444552405570425,-0.4239680647074289,-0.12521203990115704,0.12002021414381384
GN,14406,189.072087,62.273431,5.1451,Field,0.116695,0.328393,-18.662511,0.073328,-1.67849,0.203408,9.28650574300083,9.37215238319833,9.457575277595334,1.3621519537742977,1.4224177103553863,1.4556602606190026
GN,14437,189.099014,62.273615,5.3667,Field,0.177625,0.308613,-18.288943,0.115854,-0.887202,0.322187,9.371340323371257,9.508078465330058,9.691420742761112,0.3476822697975193,0.6948901371545301,1.0282434961530957
GN,14444,189.123001,62.273622,5.3127,Field,0.239157,0.308501,-18.704581,0.066689,-1.803744,0.209853,7.786029090190089,8.217543916964162,8.594785481677363,-0.5548572538624608,-0.08314113206669012,0.3672776692611899
GN,14693,189.06429,62.274289,5.145,Field,0.037703,0.309268,-19.902996,0.049513,-1.989351,0.150319,8.509832309150662,8.73970678688344,9.151432642080373,0.02385052686246224,0.4971196805608918,0.7986086793409622
GN,14713,189.213262,62.2744,6.8725,Field,-0.03568,0.058289,-18.127358,0.125681,-2.517011,0.405629,7.763613887209748,7.98350319639137,8.19346817820927,-0.6636561141511456,-0.3781591500437381,-0.10427742279239487
GN,15254,189.090985,62.276006,5.1265,Field,-0.054284,0.301693,-18.489162,0.107104,-2.16811,0.338702,7.52013648065215,7.586048303654948,7.6962904768710985,-0.4954729539788958,-0.35909719461152684,-0.27901995569284793
GN,15306,189.062839,62.276153,5.4413,Field,0.75093,0.265837,-19.210694,0.068157,-2.209336,0.130034,8.299359244671734,8.548554196244888,8.813913666295855,-0.15528635645615005,0.17607776201224135,0.49499619099431585
GN,15920,189.069609,62.278083,5.1146,Field,-0.516986,0.351438,-18.670181,0.067263,-2.324148,0.219697,7.490437276249099,7.529459662373044,7.608873807809819,-0.5297626409010652,-0.4331293918829669,-0.3844410196741629
GN,16704,189.095574,62.28095,5.133,Field,0.342539,0.316652,-18.509539,0.104636,-2.239769,0.324023,7.693828522116354,7.859298701361372,8.02491116316146,-0.5910399253010808,-0.3534975849711424,-0.12763843435661368
GN,16733,189.114367,62.281151,4.9307,Field,-0.385749,0.368464,-19.510418,0.04604,-1.692731,0.121546,8.818161844517713,8.974537452441123,9.206113321364018,0.23639785101384114,0.5214948862974439,0.7635640883857385
GN,17070,189.180741,62.28224,5.1827,JADES-GN-OD-5.191,6.845388,0.290408,-20.246208,0.045901,-1.648917,0.133852,9.101524200807926,9.252811591697231,9.372290679083472,0.5286516750120407,0.7700624535868668,1.0105185154864282
GN,17722,189.108882,62.28422,4.9314,Field,-0.347258,0.347646,-19.525403,0.07022,-2.409474,0.209854,8.63406178376115,8.789951775586166,8.895914260276669,0.07801365172933893,0.2850530081802956,0.5344117774871909
